Name,Medium,Year,Creator
"Darth Vader","Star Wars",1977,"George Lucas"
"Darth Maul","Star Wars",1999,"George Lucas"
"Sauron","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Gandalf the Grey","The Hobbit",1937,"J.R.R. Tolkien"
"Harry Potter","Harry Potter and the Philosopher's Stone",1997,"J.K. Rowling"
"Albus Dumbledore","Harry Potter and the Philosopher's Stone",1997,"J.K. Rowling"
"Glinda the Good Witch","The Wonderful Wizard of Oz",1900,"L. Frank Baum"
"Merlin","Merlin",2008,"Julian Jones"
"Yoda","Star Wars",1980,"George Lucas"
"Luke Skywalker","Star Wars",1977,"George Lucas"
"Doctor Strange","Strange Tales",1963,"Stan Lee"
"The White Witch","Narnia",2005,"C.S. Lewis"
"Grand Vizier Jafar","Aladdin",1992,"Disney"
